Study.reference,Study_ID,Name.of.study.area,Region,Intertidal_Subtidal,Depth (m),SBT (deg C),POC (g Corg m-2 yr-1),PP (mg C m-2 d-1),Habitat description from paper,Habitat type,Folk_category,Biogenic (%),Gravel (%),Sand (%),Mud (%),Fishing gear description from paper,Gear.type,PD (cm),f,Smin (m),Area of one disturbed plot (m2),FishHist,Metric,Macrofauna / Meiofauna,Gear used to sample the benthos ,Infauna / Epifauna,Scavenger.effect,Time,Method,Mean_BefCtrl,SD_BefCtrl,n_BefCtrl,Mean_BefImpt,SD_BefImpt,n_BefImpt,Mean_AftCtrl,SD_AftCtrl,n_AftCtrl,Mean_AftImpt,SD_AftImpt,n_AftImpt,Author,Year,notes
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,7,BACI,76.66,25.89,3,100.42,34.54,3,138.76,45.33,3,156.05,60.44,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,14,BACI,76.66,25.89,3,100.42,34.54,3,162.62,36.7,3,168.04,56.12,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,30,BACI,76.66,25.89,3,100.42,34.54,3,119.58,29.13,3,184.35,64.75,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,120,BACI,76.66,25.89,3,100.42,34.54,3,47.39,12.95,3,47.42,12.95,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,0.08,BACI,0.14,0.09,3,0.11,0.07,3,0.14,0.09,3,0.07,0.12,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,1,BACI,0.14,0.09,3,0.11,0.07,3,0.15,0.07,3,0.02,0.02,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,2,BACI,0.14,0.09,3,0.11,0.07,3,0.09,0.04,3,0.04,0.03,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,3,BACI,0.14,0.09,3,0.11,0.07,3,0.15,0.09,3,0.11,0.1,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,7,BACI,0.14,0.09,3,0.11,0.07,3,0.13,0.07,3,0.1,0.13,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,14,BACI,0.14,0.09,3,0.11,0.07,3,0.15,0.1,3,0.12,0.13,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,30,BACI,0.14,0.09,3,0.11,0.07,3,0.11,0.08,3,0.1,0.09,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,120,BACI,0.14,0.09,3,0.11,0.07,3,0.07,0.09,3,0.16,0.22,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,0.08,BACI,33.12,4.51,3,39.57,7.31,3,32.47,4.95,3,23.87,5.81,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,1,BACI,33.12,4.51,3,39.57,7.31,3,40.43,6.24,3,15.05,10.11,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,2,BACI,33.12,4.51,3,39.57,7.31,3,38.92,4.09,3,23.23,9.46,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,3,BACI,33.12,4.51,3,39.57,7.31,3,36.13,6.67,3,31.83,9.46,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,7,BACI,33.12,4.51,3,39.57,7.31,3,39.35,6.24,3,35.48,6.03,3,Carvalho,2011,
